Name,Birthday,Height,Weight,Season,Team Name,Team Short Name,Preferred Foot,Appearances in Starting XI,Goals,Nationality,Transfer Value,Wage,PlayerPhoto,ClubLogo
Wes Morgan, 21 January 1984,185 cm,205 lbs,2014/2015,Leicester City,LEI,Right,37,2,Jamaica,€3.6M,€62K,https://cdn.sofifa.org/1x/18/players/136113.png,https://cdn.sofifa.org/1x/18/teams/95.png
Wes Morgan, 21 January 1984,185 cm,205 lbs,2015/2016,Leicester City,LEI,Right,38,2,Jamaica,€3.6M,€62K,https://cdn.sofifa.org/1x/18/players/136113.png,https://cdn.sofifa.org/1x/18/teams/95.png
Maya Yoshida, 24 August 1988,187 cm,172 lbs,2012/2013,Southampton,SOU,Right,31,0,Japan,€5.5M,€63K,https://cdn.sofifa.org/1x/18/players/191648.png,https://cdn.sofifa.org/1x/18/teams/17.png
Maya Yoshida, 24 August 1988,187 cm,172 lbs,2013/2014,Southampton,SOU,Right,7,1,Japan,€5.5M,€63K,https://cdn.sofifa.org/1x/18/players/191648.png,https://cdn.sofifa.org/1x/18/teams/17.png
Maya Yoshida, 24 August 1988,187 cm,172 lbs,2014/2015,Southampton,SOU,Right,18,1,Japan,€5.5M,€63K,https://cdn.sofifa.org/1x/18/players/191648.png,https://cdn.sofifa.org/1x/18/teams/17.png
Maya Yoshida, 24 August 1988,187 cm,172 lbs,2015/2016,Southampton,SOU,Right,10,1,Japan,€5.5M,€63K,https://cdn.sofifa.org/1x/18/players/191648.png,https://cdn.sofifa.org/1x/18/teams/17.png
Ryo Miyaichi, 14 December 1992,182 cm,157 lbs,2011/2012,Bolton Wanderers,BOL,Right,8,0,Japan,€1M,€10K,https://cdn.sofifa.org/1x/18/players/202053.png,https://cdn.sofifa.org/1x/18/teams/4.png
Shinji Kagawa, 17 March 1989,175 cm,150 lbs,2012/2013,Manchester United,MUN,Right,17,6,Japan,€26M,€75K,https://cdn.sofifa.org/1x/18/players/189358.png,https://cdn.sofifa.org/1x/18/teams/11.png
Shinji Kagawa, 17 March 1989,175 cm,150 lbs,2013/2014,Manchester United,MUN,Right,14,0,Japan,€26M,€75K,https://cdn.sofifa.org/1x/18/players/189358.png,https://cdn.sofifa.org/1x/18/teams/11.png
Shinji Okazaki, 16 April 1986,175 cm,168 lbs,2015/2016,Leicester City,LEI,Right,28,5,Japan,€8M,€74K,https://cdn.sofifa.org/1x/18/players/194365.png,https://cdn.sofifa.org/1x/18/teams/95.png
Victor Wanyama, 25 June 1991,187 cm,168 lbs,2013/2014,Southampton,SOU,Right,19,0,Kenya,€23M,€99K,https://cdn.sofifa.org/1x/18/players/188942.png,https://cdn.sofifa.org/1x/18/teams/17.png
Victor Wanyama, 25 June 1991,187 cm,168 lbs,2014/2015,Southampton,SOU,Right,26,3,Kenya,€23M,€99K,https://cdn.sofifa.org/1x/18/players/188942.png,https://cdn.sofifa.org/1x/18/teams/17.png
Victor Wanyama, 25 June 1991,187 cm,168 lbs,2015/2016,Southampton,SOU,Right,29,1,Kenya,€23M,€99K,https://cdn.sofifa.org/1x/18/players/188942.png,https://cdn.sofifa.org/1x/18/teams/17.png
Heung-Min Son, 8 July 1992,182 cm,174 lbs,2015/2016,Tottenham Hotspur,TOT,Right,13,4,Korea Republic,€28M,€95K,https://cdn.sofifa.org/1x/18/players/200104.png,https://cdn.sofifa.org/1x/18/teams/18.png
Abou Diaby, 11 May 1986,193 cm,168 lbs,2012/2013,Arsenal,ARS,Right,10,0,Mali,€3.7M,€17K,https://cdn.sofifa.org/1x/18/players/202330.png,https://cdn.sofifa.org/1x/18/teams/1.png
Bakary Sako, 26 April 1988,182 cm,198 lbs,2015/2016,Crystal Palace,CRY,Left,11,2,Mali,€3M,€36K,https://cdn.sofifa.org/1x/18/players/179613.png,https://cdn.sofifa.org/1x/18/teams/1799.png
Yacouba Sylla, 29 November 1990,182 cm,176 lbs,2012/2013,Aston Villa,AVL,Right,7,0,Mali,€3.3M,€1K,https://cdn.sofifa.org/1x/18/players/201917.png,https://cdn.sofifa.org/1x/18/teams/2.png
Yacouba Sylla, 29 November 1990,182 cm,176 lbs,2013/2014,Aston Villa,AVL,Right,5,0,Mali,€3.3M,€1K,https://cdn.sofifa.org/1x/18/players/201917.png,https://cdn.sofifa.org/1x/18/teams/2.png
Fernando Torres, 20 March 1984,185 cm,172 lbs,2011/2012,Chelsea,CHE,Right,20,6,Mexico,€375K,€6K,https://cdn.sofifa.org/1x/18/players/139489.png,https://cdn.sofifa.org/1x/18/teams/5.png
Fernando Torres, 20 March 1984,185 cm,172 lbs,2012/2013,Chelsea,CHE,Right,28,8,Mexico,€375K,€6K,https://cdn.sofifa.org/1x/18/players/139489.png,https://cdn.sofifa.org/1x/18/teams/5.png
Fernando Torres, 20 March 1984,185 cm,172 lbs,2013/2014,Chelsea,CHE,Right,16,5,Mexico,€375K,€6K,https://cdn.sofifa.org/1x/18/players/139489.png,https://cdn.sofifa.org/1x/18/teams/5.png
Javier Hernandez, 1 June 1988,175 cm,161 lbs,2011/2012,Manchester United,MUN,Right,18,10,Mexico,€70K,€1K,https://cdn.sofifa.org/1x/18/players/236994.png,https://cdn.sofifa.org/1x/18/teams/11.png
Javier Hernandez, 1 June 1988,175 cm,161 lbs,2012/2013,Manchester United,MUN,Right,9,10,Mexico,€70K,€1K,https://cdn.sofifa.org/1x/18/players/236994.png,https://cdn.sofifa.org/1x/18/teams/11.png
Javier Hernandez, 1 June 1988,175 cm,161 lbs,2013/2014,Manchester United,MUN,Right,6,4,Mexico,€70K,€1K,https://cdn.sofifa.org/1x/18/players/236994.png,https://cdn.sofifa.org/1x/18/teams/11.png
Javier Hernandez, 1 June 1988,175 cm,161 lbs,2014/2015,Manchester United,MUN,Right,1,0,Mexico,€70K,€1K,https://cdn.sofifa.org/1x/18/players/236994.png,https://cdn.sofifa.org/1x/18/teams/11.png
Adel Taarabt, 24 May 1989,180 cm,172 lbs,2013/2014,Fulham,FUL,Right,7,0,Morocco,€1.8M,€9K,https://cdn.sofifa.org/1x/18/players/179605.png,https://cdn.sofifa.org/1x/18/teams/144.png
Adel Taarabt, 24 May 1989,180 cm,172 lbs,2011/2012,Queens Park Rangers,QPR,Right,24,2,Morocco,€1.8M,€9K,https://cdn.sofifa.org/1x/18/players/179605.png,https://cdn.sofifa.org/1x/18/teams/15.png
Adel Taarabt, 24 May 1989,180 cm,172 lbs,2012/2013,Queens Park Rangers,QPR,Right,25,5,Morocco,€1.8M,€9K,https://cdn.sofifa.org/1x/18/players/179605.png,https://cdn.sofifa.org/1x/18/teams/15.png
Adel Taarabt, 24 May 1989,180 cm,172 lbs,2014/2015,Queens Park Rangers,QPR,Right,3,0,Morocco,€1.8M,€9K,https://cdn.sofifa.org/1x/18/players/179605.png,https://cdn.sofifa.org/1x/18/teams/15.png
Nordin Amrabat, 31 March 1987,177 cm,170 lbs,2015/2016,Watford,WAT,Right,4,0,Morocco,€12M,€69K,https://cdn.sofifa.org/1x/18/players/183108.png,https://cdn.sofifa.org/1x/18/teams/1795.png
Oussama Assaidi, 15 August 1988,177 cm,154 lbs,2013/2014,Stoke City,STK,Right,12,4,Morocco,€4M,€12K,https://cdn.sofifa.org/1x/18/players/188935.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Oussama Assaidi, 15 August 1988,177 cm,154 lbs,2014/2015,Stoke City,STK,Right,1,0,Morocco,€4M,€12K,https://cdn.sofifa.org/1x/18/players/188935.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Daley Blind, 9 March 1990,180 cm,159 lbs,2014/2015,Manchester United,MUN,Left,25,2,Netherlands,€13.5M,€120K,https://cdn.sofifa.org/1x/18/players/190815.png,https://cdn.sofifa.org/1x/18/teams/11.png
Daley Blind, 9 March 1990,180 cm,159 lbs,2015/2016,Manchester United,MUN,Left,35,1,Netherlands,€13.5M,€120K,https://cdn.sofifa.org/1x/18/players/190815.png,https://cdn.sofifa.org/1x/18/teams/11.png
Daryl Janmaat, 22 July 1989,185 cm,176 lbs,2014/2015,Newcastle United,NEW,Right,37,1,Netherlands,€7.5M,€53K,https://cdn.sofifa.org/1x/18/players/188155.png,https://cdn.sofifa.org/1x/18/teams/13.png
Daryl Janmaat, 22 July 1989,185 cm,176 lbs,2015/2016,Newcastle United,NEW,Right,32,2,Netherlands,€7.5M,€53K,https://cdn.sofifa.org/1x/18/players/188155.png,https://cdn.sofifa.org/1x/18/teams/13.png
Dwight Tiendalli, 21 October 1985,175 cm,161 lbs,2012/2013,Swansea City,SWA,Right,11,1,Netherlands,€2.6M,€11K,https://cdn.sofifa.org/1x/18/players/172630.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Dwight Tiendalli, 21 October 1985,175 cm,161 lbs,2013/2014,Swansea City,SWA,Right,9,0,Netherlands,€2.6M,€11K,https://cdn.sofifa.org/1x/18/players/172630.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Dwight Tiendalli, 21 October 1985,175 cm,161 lbs,2014/2015,Swansea City,SWA,Right,1,0,Netherlands,€2.6M,€11K,https://cdn.sofifa.org/1x/18/players/172630.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Erik Pieters, 7 August 1988,182 cm,190 lbs,2013/2014,Stoke City,STK,Left,34,1,Netherlands,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/178567.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Erik Pieters, 7 August 1988,182 cm,190 lbs,2014/2015,Stoke City,STK,Left,29,0,Netherlands,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/178567.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Erik Pieters, 7 August 1988,182 cm,190 lbs,2015/2016,Stoke City,STK,Left,35,0,Netherlands,€5.5M,€55K,https://cdn.sofifa.org/1x/18/players/178567.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Georginio Wijnaldum, 11 November 1990,175 cm,163 lbs,2015/2016,Newcastle United,NEW,Right,36,11,Netherlands,€27M,€130K,https://cdn.sofifa.org/1x/18/players/181291.png,https://cdn.sofifa.org/1x/18/teams/13.png
Ibrahim Afellay, 2 April 1986,180 cm,168 lbs,2015/2016,Stoke City,STK,Right,24,2,Netherlands,€9M,€68K,https://cdn.sofifa.org/1x/18/players/158372.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Jeremain Lens, 24 November 1987,177 cm,161 lbs,2015/2016,Sunderland,SUN,Right,14,3,Netherlands,€14.5M,€17K,https://cdn.sofifa.org/1x/18/players/178416.png,https://cdn.sofifa.org/1x/18/teams/106.png
Jordy Clasie, 27 June 1991,170 cm,154 lbs,2015/2016,Southampton,SOU,Right,20,0,Netherlands,€9M,€72K,https://cdn.sofifa.org/1x/18/players/199422.png,https://cdn.sofifa.org/1x/18/teams/17.png
Jos Hooiveld, 22 April 1983,193 cm,183 lbs,2012/2013,Southampton,SOU,Left,23,0,Netherlands,€270K,€6K,https://cdn.sofifa.org/1x/18/players/139701.png,https://cdn.sofifa.org/1x/18/teams/17.png
Jos Hooiveld, 22 April 1983,193 cm,183 lbs,2013/2014,Southampton,SOU,Left,3,0,Netherlands,€270K,€6K,https://cdn.sofifa.org/1x/18/players/139701.png,https://cdn.sofifa.org/1x/18/teams/17.png
Karim Rekik, 2 December 1994,185 cm,172 lbs,2012/2013,Manchester City,MCI,Left,1,0,Netherlands,€4.7M,€21K,https://cdn.sofifa.org/1x/18/players/205193.png,https://cdn.sofifa.org/1x/18/teams/10.png
Leroy Fer, 5 January 1990,187 cm,174 lbs,2013/2014,Norwich City,NOR,Right,28,3,Netherlands,€10M,€68K,https://cdn.sofifa.org/1x/18/players/186351.png,https://cdn.sofifa.org/1x/18/teams/1792.png
Leroy Fer, 5 January 1990,187 cm,174 lbs,2015/2016,Swansea City,SWA,Right,9,0,Netherlands,€10M,€68K,https://cdn.sofifa.org/1x/18/players/186351.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Leroy Fer, 5 January 1990,187 cm,174 lbs,2014/2015,Queens Park Rangers,QPR,Right,27,6,Netherlands,€10M,€68K,https://cdn.sofifa.org/1x/18/players/186351.png,https://cdn.sofifa.org/1x/18/teams/15.png
Maarten Stekelenburg, 22 September 1982,198 cm,203 lbs,2015/2016,Southampton,SOU,Right,17,0,Netherlands,€2.7M,€60K,https://cdn.sofifa.org/1x/18/players/2147.png,https://cdn.sofifa.org/1x/18/teams/17.png
Maarten Stekelenburg, 22 September 1982,198 cm,203 lbs,2013/2014,Fulham,FUL,Right,19,0,Netherlands,€2.7M,€60K,https://cdn.sofifa.org/1x/18/players/2147.png,https://cdn.sofifa.org/1x/18/teams/144.png
Marvin Emnes, 27 May 1988,180 cm,146 lbs,2013/2014,Swansea City,SWA,Right,2,1,Netherlands,€900K,€13K,https://cdn.sofifa.org/1x/18/players/176801.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Marvin Emnes, 27 May 1988,180 cm,146 lbs,2014/2015,Swansea City,SWA,Right,3,0,Netherlands,€900K,€13K,https://cdn.sofifa.org/1x/18/players/176801.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Marvin Emnes, 27 May 1988,180 cm,146 lbs,2015/2016,Swansea City,SWA,Right,1,0,Netherlands,€900K,€13K,https://cdn.sofifa.org/1x/18/players/176801.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Memphis Depay, 13 February 1994,175 cm,172 lbs,2015/2016,Manchester United,MUN,Right,16,2,Netherlands,€17M,€71K,https://cdn.sofifa.org/1x/18/players/202556.png,https://cdn.sofifa.org/1x/18/teams/11.png
Michel Vorm, 20 October 1983,182 cm,190 lbs,2014/2015,Tottenham Hotspur,TOT,Right,3,0,Netherlands,€6.5M,€74K,https://cdn.sofifa.org/1x/18/players/137677.png,https://cdn.sofifa.org/1x/18/teams/18.png
Michel Vorm, 20 October 1983,182 cm,190 lbs,2015/2016,Tottenham Hotspur,TOT,Right,1,0,Netherlands,€6.5M,€74K,https://cdn.sofifa.org/1x/18/players/137677.png,https://cdn.sofifa.org/1x/18/teams/18.png
Michel Vorm, 20 October 1983,182 cm,190 lbs,2011/2012,Swansea City,SWA,Right,37,0,Netherlands,€6.5M,€74K,https://cdn.sofifa.org/1x/18/players/137677.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Michel Vorm, 20 October 1983,182 cm,190 lbs,2012/2013,Swansea City,SWA,Right,26,0,Netherlands,€6.5M,€74K,https://cdn.sofifa.org/1x/18/players/137677.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Michel Vorm, 20 October 1983,182 cm,190 lbs,2013/2014,Swansea City,SWA,Right,26,0,Netherlands,€6.5M,€74K,https://cdn.sofifa.org/1x/18/players/137677.png,https://cdn.sofifa.org/1x/18/teams/1960.png
Ron Vlaar, 16 February 1985,187 cm,174 lbs,2012/2013,Aston Villa,AVL,Right,27,2,Netherlands,€4.4M,€13K,https://cdn.sofifa.org/1x/18/players/168585.png,https://cdn.sofifa.org/1x/18/teams/2.png
Ron Vlaar, 16 February 1985,187 cm,174 lbs,2013/2014,Aston Villa,AVL,Right,32,0,Netherlands,€4.4M,€13K,https://cdn.sofifa.org/1x/18/players/168585.png,https://cdn.sofifa.org/1x/18/teams/2.png
Ron Vlaar, 16 February 1985,187 cm,174 lbs,2014/2015,Aston Villa,AVL,Right,19,0,Netherlands,€4.4M,€13K,https://cdn.sofifa.org/1x/18/players/168585.png,https://cdn.sofifa.org/1x/18/teams/2.png
Tim Krul, 3 April 1988,193 cm,181 lbs,2011/2012,Newcastle United,NEW,Left,38,0,Netherlands,€7M,€54K,https://cdn.sofifa.org/1x/18/players/170597.png,https://cdn.sofifa.org/1x/18/teams/13.png
Tim Krul, 3 April 1988,193 cm,181 lbs,2012/2013,Newcastle United,NEW,Left,24,0,Netherlands,€7M,€54K,https://cdn.sofifa.org/1x/18/players/170597.png,https://cdn.sofifa.org/1x/18/teams/13.png
Tim Krul, 3 April 1988,193 cm,181 lbs,2013/2014,Newcastle United,NEW,Left,36,0,Netherlands,€7M,€54K,https://cdn.sofifa.org/1x/18/players/170597.png,https://cdn.sofifa.org/1x/18/teams/13.png
Tim Krul, 3 April 1988,193 cm,181 lbs,2014/2015,Newcastle United,NEW,Left,30,0,Netherlands,€7M,€54K,https://cdn.sofifa.org/1x/18/players/170597.png,https://cdn.sofifa.org/1x/18/teams/13.png
Tim Krul, 3 April 1988,193 cm,181 lbs,2015/2016,Newcastle United,NEW,Left,8,0,Netherlands,€7M,€54K,https://cdn.sofifa.org/1x/18/players/170597.png,https://cdn.sofifa.org/1x/18/teams/13.png
Timothy Fosu-Mensah, 2 January 1998,185 cm,174 lbs,2015/2016,Manchester United,MUN,Right,2,0,Netherlands,€12M,€52K,https://cdn.sofifa.org/1x/18/players/232270.png,https://cdn.sofifa.org/1x/18/teams/11.png
Urby Emanuelson, 16 June 1986,175 cm,150 lbs,2012/2013,Fulham,FUL,Left,5,1,Netherlands,€4.8M,€13K,https://cdn.sofifa.org/1x/18/players/169808.png,https://cdn.sofifa.org/1x/18/teams/144.png
Vurnon Anita, 4 April 1989,167 cm,143 lbs,2012/2013,Newcastle United,NEW,Right,17,0,Netherlands,€1.9M,€23K,https://cdn.sofifa.org/1x/18/players/183940.png,https://cdn.sofifa.org/1x/18/teams/13.png
Vurnon Anita, 4 April 1989,167 cm,143 lbs,2013/2014,Newcastle United,NEW,Right,28,1,Netherlands,€1.9M,€23K,https://cdn.sofifa.org/1x/18/players/183940.png,https://cdn.sofifa.org/1x/18/teams/13.png
Vurnon Anita, 4 April 1989,167 cm,143 lbs,2014/2015,Newcastle United,NEW,Right,17,0,Netherlands,€1.9M,€23K,https://cdn.sofifa.org/1x/18/players/183940.png,https://cdn.sofifa.org/1x/18/teams/13.png
Vurnon Anita, 4 April 1989,167 cm,143 lbs,2015/2016,Newcastle United,NEW,Right,24,1,Netherlands,€1.9M,€23K,https://cdn.sofifa.org/1x/18/players/183940.png,https://cdn.sofifa.org/1x/18/teams/13.png
Winston Reid, 3 July 1988,190 cm,192 lbs,2012/2013,West Ham United,WHU,Right,36,1,New Zealand,€11.5M,€105K,https://cdn.sofifa.org/1x/18/players/176285.png,https://cdn.sofifa.org/1x/18/teams/19.png
Winston Reid, 3 July 1988,190 cm,192 lbs,2013/2014,West Ham United,WHU,Right,18,1,New Zealand,€11.5M,€105K,https://cdn.sofifa.org/1x/18/players/176285.png,https://cdn.sofifa.org/1x/18/teams/19.png
Winston Reid, 3 July 1988,190 cm,192 lbs,2014/2015,West Ham United,WHU,Right,29,1,New Zealand,€11.5M,€105K,https://cdn.sofifa.org/1x/18/players/176285.png,https://cdn.sofifa.org/1x/18/teams/19.png
Winston Reid, 3 July 1988,190 cm,192 lbs,2015/2016,West Ham United,WHU,Right,24,1,New Zealand,€11.5M,€105K,https://cdn.sofifa.org/1x/18/players/176285.png,https://cdn.sofifa.org/1x/18/teams/19.png
Alex Iwobi, 3 May 1996,180 cm,165 lbs,2015/2016,Arsenal,ARS,Right,8,2,Nigeria,€9.5M,€64K,https://cdn.sofifa.org/1x/18/players/213655.png,https://cdn.sofifa.org/1x/18/teams/1.png
Emmanuel Emenike, 10 May 1987,182 cm,198 lbs,2015/2016,West Ham United,WHU,Right,5,0,Nigeria,€6.5M,€1K,https://cdn.sofifa.org/1x/18/players/199835.png,https://cdn.sofifa.org/1x/18/teams/19.png
Hope Akpan, 14 August 1991,182 cm,179 lbs,2012/2013,Reading,REA,Right,6,0,Nigeria,€550K,€4K,https://cdn.sofifa.org/1x/18/players/190504.png,https://cdn.sofifa.org/1x/18/teams/1793.png
James Collins, 23 August 1983,193 cm,198 lbs,2012/2013,West Ham United,WHU,Right,29,0,Nigeria,€240K,€1K,https://cdn.sofifa.org/1x/18/players/241135.png,https://cdn.sofifa.org/1x/18/teams/19.png
James Collins, 23 August 1983,193 cm,198 lbs,2013/2014,West Ham United,WHU,Right,22,1,Nigeria,€240K,€1K,https://cdn.sofifa.org/1x/18/players/241135.png,https://cdn.sofifa.org/1x/18/teams/19.png
James Collins, 23 August 1983,193 cm,198 lbs,2014/2015,West Ham United,WHU,Right,21,0,Nigeria,€240K,€1K,https://cdn.sofifa.org/1x/18/players/241135.png,https://cdn.sofifa.org/1x/18/teams/19.png
James Collins, 23 August 1983,193 cm,198 lbs,2015/2016,West Ham United,WHU,Right,16,0,Nigeria,€240K,€1K,https://cdn.sofifa.org/1x/18/players/241135.png,https://cdn.sofifa.org/1x/18/teams/19.png
James Collins, 23 August 1983,193 cm,198 lbs,2011/2012,Aston Villa,AVL,Right,31,1,Nigeria,€240K,€1K,https://cdn.sofifa.org/1x/18/players/241135.png,https://cdn.sofifa.org/1x/18/teams/2.png
John Obi Mikel, 22 April 1987,187 cm,183 lbs,2011/2012,Chelsea,CHE,Right,15,0,Nigeria,€4.9M,€39K,https://cdn.sofifa.org/1x/18/players/193337.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Obi Mikel, 22 April 1987,187 cm,183 lbs,2012/2013,Chelsea,CHE,Right,19,0,Nigeria,€4.9M,€39K,https://cdn.sofifa.org/1x/18/players/193337.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Obi Mikel, 22 April 1987,187 cm,183 lbs,2013/2014,Chelsea,CHE,Right,11,1,Nigeria,€4.9M,€39K,https://cdn.sofifa.org/1x/18/players/193337.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Obi Mikel, 22 April 1987,187 cm,183 lbs,2014/2015,Chelsea,CHE,Right,6,0,Nigeria,€4.9M,€39K,https://cdn.sofifa.org/1x/18/players/193337.png,https://cdn.sofifa.org/1x/18/teams/5.png
John Obi Mikel, 22 April 1987,187 cm,183 lbs,2015/2016,Chelsea,CHE,Right,19,0,Nigeria,€4.9M,€39K,https://cdn.sofifa.org/1x/18/players/193337.png,https://cdn.sofifa.org/1x/18/teams/5.png
Kelechi Iheanacho, 3 October 1996,187 cm,170 lbs,2015/2016,Manchester City,MCI,Left,7,8,Nigeria,€11.5M,€50K,https://cdn.sofifa.org/1x/18/players/225719.png,https://cdn.sofifa.org/1x/18/teams/10.png
Sammy Ameobi, 1 May 1992,193 cm,172 lbs,2011/2012,Newcastle United,NEW,Left,1,0,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Sammy Ameobi, 1 May 1992,193 cm,172 lbs,2012/2013,Newcastle United,NEW,Left,1,0,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Sammy Ameobi, 1 May 1992,193 cm,172 lbs,2013/2014,Newcastle United,NEW,Left,4,0,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Sammy Ameobi, 1 May 1992,193 cm,172 lbs,2014/2015,Newcastle United,NEW,Left,15,2,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Shola Ameobi, 12 October 1981,190 cm,209 lbs,2011/2012,Newcastle United,NEW,Right,8,2,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Shola Ameobi, 12 October 1981,190 cm,209 lbs,2012/2013,Newcastle United,NEW,Right,4,1,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Shola Ameobi, 12 October 1981,190 cm,209 lbs,2013/2014,Newcastle United,NEW,Right,14,2,Nigeria,€1.3M,€20K,https://cdn.sofifa.org/1x/18/players/203537.png,https://cdn.sofifa.org/1x/18/teams/13.png
Sone Aluko, 19 February 1989,172 cm,165 lbs,2013/2014,Hull City,HUL,Left,10,1,Nigeria,€5.5M,€38K,https://cdn.sofifa.org/1x/18/players/173530.png,https://cdn.sofifa.org/1x/18/teams/1952.png
Sone Aluko, 19 February 1989,172 cm,165 lbs,2014/2015,Hull City,HUL,Left,13,1,Nigeria,€5.5M,€38K,https://cdn.sofifa.org/1x/18/players/173530.png,https://cdn.sofifa.org/1x/18/teams/1952.png
Taye Taiwo, 16 April 1985,182 cm,179 lbs,2011/2012,Queens Park Rangers,QPR,Left,13,1,Nigeria,€1.3M,€4K,https://cdn.sofifa.org/1x/18/players/164954.png,https://cdn.sofifa.org/1x/18/teams/15.png
Victor Moses, 12 December 1990,177 cm,187 lbs,2012/2013,Chelsea,CHE,Right,12,1,Nigeria,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/172962.png,https://cdn.sofifa.org/1x/18/teams/5.png
Victor Moses, 12 December 1990,177 cm,187 lbs,2011/2012,Wigan Athletic,WIG,Right,36,6,Nigeria,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/172962.png,https://cdn.sofifa.org/1x/18/teams/1917.png
Victor Moses, 12 December 1990,177 cm,187 lbs,2012/2013,Wigan Athletic,WIG,Right,1,1,Nigeria,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/172962.png,https://cdn.sofifa.org/1x/18/teams/1917.png
Victor Moses, 12 December 1990,177 cm,187 lbs,2013/2014,Liverpool,LIV,Right,6,1,Nigeria,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/172962.png,https://cdn.sofifa.org/1x/18/teams/9.png
Victor Moses, 12 December 1990,177 cm,187 lbs,2015/2016,West Ham United,WHU,Right,13,1,Nigeria,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/172962.png,https://cdn.sofifa.org/1x/18/teams/19.png
Victor Moses, 12 December 1990,177 cm,187 lbs,2014/2015,Stoke City,STK,Right,19,3,Nigeria,€12.5M,€115K,https://cdn.sofifa.org/1x/18/players/172962.png,https://cdn.sofifa.org/1x/18/teams/1806.png
Aaron Hughes, 8 November 1979,182 cm,154 lbs,2011/2012,Fulham,FUL,Right,18,0,Northern Ireland,€325K,€5K,https://cdn.sofifa.org/1x/18/players/17725.png,https://cdn.sofifa.org/1x/18/teams/144.png
Aaron Hughes, 8 November 1979,182 cm,154 lbs,2012/2013,Fulham,FUL,Right,23,0,Northern Ireland,€325K,€5K,https://cdn.sofifa.org/1x/18/players/17725.png,https://cdn.sofifa.org/1x/18/teams/144.png
Aaron Hughes, 8 November 1979,182 cm,154 lbs,2013/2014,Fulham,FUL,Right,11,0,Northern Ireland,€325K,€5K,https://cdn.sofifa.org/1x/18/players/17725.png,https://cdn.sofifa.org/1x/18/teams/144.png
Alex Bruce, 28 September 1984,180 cm,179 lbs,2013/2014,Hull City,HUL,Right,19,0,Northern Ireland,€450K,€8K,https://cdn.sofifa.org/1x/18/players/169458.png,https://cdn.sofifa.org/1x/18/teams/1952.png
Alex Bruce, 28 September 1984,180 cm,179 lbs,2014/2015,Hull City,HUL,Right,17,0,Northern Ireland,€450K,€8K,https://cdn.sofifa.org/1x/18/players/169458.png,https://cdn.sofifa.org/1x/18/teams/1952.png
Chris Baird, 25 February 1982,180 cm,163 lbs,2014/2015,West Bromwich Albion,WBA,Right,9,0,Northern Ireland,€160K,€20K,https://cdn.sofifa.org/1x/18/players/138289.png,https://cdn.sofifa.org/1x/18/teams/109.png
Chris Baird, 25 February 1982,180 cm,163 lbs,2011/2012,Fulham,FUL,Right,13,0,Northern Ireland,€160K,€20K,https://cdn.sofifa.org/1x/18/players/138289.png,https://cdn.sofifa.org/1x/18/teams/144.png
Chris Baird, 25 February 1982,180 cm,163 lbs,2012/2013,Fulham,FUL,Right,14,2,Northern Ireland,€160K,€20K,https://cdn.sofifa.org/1x/18/players/138289.png,https://cdn.sofifa.org/1x/18/teams/144.png
